row_id,type,edges.1.from,webhook.url,webhook.method,webhook.headers.1.1,webhook.headers.1.2,webhook.headers.2.1,webhook.headers.2.2,webhook.headers.3.1,webhook.headers.3.2,webhook.body,edges.1.condition,edges.2.from,edges.3.from,edges.3.condition,edges.4.from,edges.5.from,edges.5.condition,edges.6.from,edges.7.from,edges.7.condition,edges.8.from,edges.9.from,edges.9.condition,edges.10.from,edges.11.from,edges.11.condition,edges.12.from,edges.13.from,edges.13.condition,edges.14.from,edges.15.from,edges.15.condition,edges.16.from,edges.17.from,edges.17.condition,edges.18.from,edges.19.from,edges.19.condition,edges.20.from,edges.21.from,edges.21.condition,edges.22.from,edges.23.from,edges.23.condition,edges.24.from,edges.25.from,edges.25.condition,edges.26.from,edges.27.from,edges.27.condition,edges.28.from,edges.29.from,edges.29.condition,edges.30.from,edges.31.from,edges.31.condition,edges.32.from,edges.33.from,message_text,save_name
flow.survey_-_onb,start_new_flow,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey - onb,
switch.fields_s_onb_co,split_by_value,flow.survey_-_onb,,,,,,,,,,value;completed|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@fields.s_onb_complete,
set_contact_field.completed_onboa,save_value,switch.fields_s_onb_co,,,,,,,,,,value;yes|variable;@fields.s_onb_complete|type;has_any_word|name;Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,completed_onboarding
set_run_result.proceed,save_flow_result,set_contact_field.completed_onboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,proceed
flow.set_up_prog_var,start_new_flow,set_run_result.proceed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set_up_prog_var,
switch.child_results_e,split_by_value,switch.fields_s_onb_co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@child.results.expired,
flow.reset_onboardin,start_new_flow,switch.child_results_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reset_onboarding_survey,
remove_contact_groups.,remove_from_group,flow.reset_onboardin,,,,,,,,,,value;completed|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
switch.fields_joining_,split_by_value,remove_contact_groups.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@fields.joining_trigger_id,
set_run_result.curr_n,save_flow_result,switch.fields_joining_,,,,,,,,,,value;testers|variable;@fields.joining_trigger_id|type;has_any_word|name;Testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_testers +1),curr n
webhook.globals_rp_url_,call_webhook,set_run_result.curr_n,"@(globals.rp_url &""/api/v2/globals.json?key=n_testers"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.1,save_flow_result,switch.fields_joining_,,,,,,,,,,value;enlightening|variable;@fields.joining_trigger_id|type;has_any_word|name;Enlightening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_enlightening +1),curr n
webhook.globals_rp_url_.1,call_webhook,set_run_result.curr_n.1,"@(globals.rp_url &""/api/v2/globals.json?key=n_enlightening"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.2,save_flow_result,switch.fields_joining_,,,,,,,,,,value;tips|variable;@fields.joining_trigger_id|type;has_any_word|name;Tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_tips +1),curr n
webhook.globals_rp_url_.2,call_webhook,set_run_result.curr_n.2,"@(globals.rp_url &""/api/v2/globals.json?key=n_tips"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.3,save_flow_result,switch.fields_joining_,,,,,,,,,,value;family|variable;@fields.joining_trigger_id|type;has_any_word|name;Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_family +1),curr n
webhook.globals_rp_url_.3,call_webhook,set_run_result.curr_n.3,"@(globals.rp_url &""/api/v2/globals.json?key=n_family"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.4,save_flow_result,switch.fields_joining_,,,,,,,,,,value;strengthening|variable;@fields.joining_trigger_id|type;has_any_word|name;Strengthening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_strengthening +1),curr n
webhook.globals_rp_url_.4,call_webhook,set_run_result.curr_n.4,"@(globals.rp_url &""/api/v2/globals.json?key=n_strengthening"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.5,save_flow_result,switch.fields_joining_,,,,,,,,,,value;children|variable;@fields.joining_trigger_id|type;has_any_word|name;Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_children +1),curr n
webhook.globals_rp_url_.5,call_webhook,set_run_result.curr_n.5,"@(globals.rp_url &""/api/v2/globals.json?key=n_children"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.6,save_flow_result,switch.fields_joining_,,,,,,,,,,value;caregivers|variable;@fields.joining_trigger_id|type;has_any_word|name;Caregivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_caregivers +1),curr n
webhook.globals_rp_url_.6,call_webhook,set_run_result.curr_n.6,"@(globals.rp_url &""/api/v2/globals.json?key=n_caregivers"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.7,save_flow_result,switch.fields_joining_,,,,,,,,,,value;support|variable;@fields.joining_trigger_id|type;has_any_word|name;Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_support +1),curr n
webhook.globals_rp_url_.7,call_webhook,set_run_result.curr_n.7,"@(globals.rp_url &""/api/v2/globals.json?key=n_support"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.8,save_flow_result,switch.fields_joining_,,,,,,,,,,value;guidance|variable;@fields.joining_trigger_id|type;has_any_word|name;Guidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_guidance +1),curr n
webhook.globals_rp_url_.8,call_webhook,set_run_result.curr_n.8,"@(globals.rp_url &""/api/v2/globals.json?key=n_guidance"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.9,save_flow_result,switch.fields_joining_,,,,,,,,,,value;vision|variable;@fields.joining_trigger_id|type;has_any_word|name;Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_vision +1),curr n
webhook.globals_rp_url_.9,call_webhook,set_run_result.curr_n.9,"@(globals.rp_url &""/api/v2/globals.json?key=n_vision"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.10,save_flow_result,switch.fields_joining_,,,,,,,,,,value;development|variable;@fields.joining_trigger_id|type;has_any_word|name;Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_development +1),curr n
webhook.globals_rp_url_.10,call_webhook,set_run_result.curr_n.10,"@(globals.rp_url &""/api/v2/globals.json?key=n_development"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.11,save_flow_result,switch.fields_joining_,,,,,,,,,,value;counseling|variable;@fields.joining_trigger_id|type;has_any_word|name;Counseling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_counseling +1),curr n
webhook.globals_rp_url_.11,call_webhook,set_run_result.curr_n.11,"@(globals.rp_url &""/api/v2/globals.json?key=n_counseling"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.12,save_flow_result,switch.fields_joining_,,,,,,,,,,value;assistance|variable;@fields.joining_trigger_id|type;has_any_word|name;Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_assistance +1),curr n
webhook.globals_rp_url_.12,call_webhook,set_run_result.curr_n.12,"@(globals.rp_url &""/api/v2/globals.json?key=n_assistance"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.13,save_flow_result,switch.fields_joining_,,,,,,,,,,value;advice|variable;@fields.joining_trigger_id|type;has_any_word|name;Advice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_advice +1),curr n
webhook.globals_rp_url_.13,call_webhook,set_run_result.curr_n.13,"@(globals.rp_url &""/api/v2/globals.json?key=n_advice"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.14,save_flow_result,switch.fields_joining_,,,,,,,,,,value;learn|variable;@fields.joining_trigger_id|type;has_any_word|name;Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_learn +1),curr n
webhook.globals_rp_url_.14,call_webhook,set_run_result.curr_n.14,"@(globals.rp_url &""/api/v2/globals.json?key=n_learn"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_run_result.curr_n.15,save_flow_result,switch.fields_joining_,,,,,,,,,,value;share|variable;@fields.joining_trigger_id|type;has_any_word|name;Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_share +1),curr n
webhook.globals_rp_url_.15,call_webhook,set_run_result.curr_n.15,"@(globals.rp_url &""/api/v2/globals.json?key=n_share"")",POST,Accept,application/json,Authorization,Token @globals.rp_api_token,Content-Type,application/json,"{ ""value"" : ""@results.curr_n""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webhook_result
set_contact_field.joining_trigger,save_value,webhook.globals_rp_url_,,,,,,,,,,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_,webhook.globals_rp_url_.1,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.1,webhook.globals_rp_url_.2,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.2,webhook.globals_rp_url_.3,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.3,webhook.globals_rp_url_.4,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.4,webhook.globals_rp_url_.5,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.5,webhook.globals_rp_url_.6,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.6,webhook.globals_rp_url_.7,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.7,webhook.globals_rp_url_.8,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.8,webhook.globals_rp_url_.9,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.9,webhook.globals_rp_url_.10,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.10,webhook.globals_rp_url_.11,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.11,webhook.globals_rp_url_.12,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.12,webhook.globals_rp_url_.13,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.13,webhook.globals_rp_url_.14,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.14,webhook.globals_rp_url_.15,value;Success|variable;@results.webhook_result.category|type;has_only_text|name;Success,webhook.globals_rp_url_.15,switch.fields_joining_,,joining_trigger_id
